relative_humidity_2m,wind_speed_10m,temperature_2m,Cluster,PCA1,PCA2
88.0,5.6,3.5,1,-0.9582314204895005,0.3068159499358359
94.0,6.3,2.6,1,-1.293153133978736,0.47997477029580843
96.0,7.1,2.1,1,-1.384176717829599,0.6599751292355144
98.0,6.1,1.6,1,-1.5928980879509151,0.4899495826457357
97.0,6.1,1.6,1,-1.5417762567556161,0.4928422021422354
93.0,5.3,2.7,1,-1.299200952084262,0.2823648476253407
94.0,1.6,2.6,1,-1.600475131462697,-0.4339817608089571
96.0,4.0,2.0,1,-1.59509647058925,0.06319644214087773
96.0,4.5,2.3,1,-1.537748611854734,0.1422947430584184
97.0,3.3,2.4,1,-1.6591176241586862,-0.09999218588610272
95.0,4.1,2.9,1,-1.463473785845198,0.031141593422622103
94.0,3.7,3.0,1,-1.4302890085272397,-0.04979302740468383
97.0,2.6,2.8,1,-1.6720169465328232,-0.2602881944165831
95.0,4.2,3.1,1,-1.4404990004646538,0.0385000655397532
93.0,3.2,3.4,1,-1.3789889678982494,-0.16830464915761095
86.0,2.0,4.8,1,-0.9845492040417078,-0.4660187970322082
83.0,0.0,5.7,1,-0.8879969408892523,-0.9006519632085298
80.0,0.0,6.5,1,-0.6688873693968315,-0.9403237508126148
82.0,3.7,6.5,1,-0.52919669334261,-0.22661129510611794
84.0,2.4,6.9,1,-0.6835722735308294,-0.5093678444727596
88.0,2.4,6.9,1,-0.8880595983120262,-0.5209383224587584
93.0,3.0,6.2,1,-1.1619622270332457,-0.37642017776620923
88.0,2.9,6.4,1,-0.896455817484033,-0.3934903754476336
96.0,5.1,4.8,1,-1.2930657729733637,0.10787740085912947
96.0,5.1,4.6,1,-1.3095017924499948,0.11996481238252554
92.0,4.3,5.2,1,-1.1080165364702181,-0.06029401332587918
91.0,2.7,5.3,1,-1.1532969499992283,-0.3745792378395083
92.0,1.5,5.2,1,-1.2911019817798115,-0.6047787552606331
95.0,2.2,4.8,1,-1.4315681529915727,-0.45316060521965174
98.0,3.3,4.3,1,-1.5540972703259928,-0.2177152148548647
96.0,2.5,4.3,1,-1.5041637351667065,-0.3674970449860807
96.0,4.6,3.4,1,-1.4408117388293502,0.09525986332026697
96.0,3.4,3.2,1,-1.5357129491529495,-0.12600332884266008
99.0,5.1,2.5,1,-1.6354454905405162,0.2382047748886847
99.0,6.0,2.1,1,-1.6094686363585515,0.43739255070021915
99.0,5.8,2.0,1,-1.6307641779046946,0.4045444891808633
99.0,4.7,2.0,1,-1.7026906028477493,0.19063976913506717
97.0,2.9,2.2,1,-1.7017087072509731,-0.16568830892481437
97.0,2.4,2.5,1,-1.7097485075555972,-0.281048844412543
97.0,2.3,2.5,1,-1.7162872734595112,-0.3004947280530699
97.0,1.6,2.7,1,-1.7456226153102787,-0.4487033250601544
95.0,2.2,3.5,1,-1.538402279589673,-0.37459243031757755
93.0,0.7,3.8,1,-1.509586076542839,-0.6786265632175761
80.0,6.0,4.9,1,-0.40804957097503486,0.32312855980616906
84.0,7.7,4.5,1,-0.5342499143429544,0.6663129267559201
89.0,4.5,4.2,1,-1.0237536084596464,0.04771267006165398
81.0,1.6,4.3,1,-0.7961851603724449,-0.4991207053033272
85.0,1.1,3.9,1,-1.0662383536264737,-0.583745778445169
91.0,0.8,3.4,1,-1.4336756872015881,-0.6292206175372576
93.0,2.5,2.4,1,-1.5069404266088016,-0.2439887770243193
99.0,1.5,1.6,1,-1.9448031507262609,-0.40745368431500245
100.0,1.8,1.5,1,-1.9845266939481334,-0.34596494712822345
100.0,2.9,1.6,1,-1.904382259266763,-0.13810393284412537
100.0,4.6,1.6,1,-1.7932232389002245,0.1924760890448325
100.0,5.4,1.5,1,-1.7491311214072274,0.3540868639307461
99.0,6.4,1.5,1,-1.6326216311727877,0.5514383198325149
99.0,8.4,1.7,1,-1.485410293617876,0.9282685811196578
100.0,8.0,1.7,1,-1.5626871884288314,0.8475924270610501
100.0,7.6,1.6,1,-1.5970602617828027,0.7758525982606405
99.0,6.7,1.7,1,-1.5965693139844142,0.5976885592306997
99.0,6.2,1.7,1,-1.6292631435039848,0.5004591410280652
100.0,7.0,1.5,1,-1.6445108669446022,0.6652210021791768
100.0,7.4,1.4,1,-1.6265738130672613,0.7490482425029826
100.0,8.6,1.6,1,-1.5316726027436622,0.9703114346659093
96.0,11.0,2.4,1,-1.1045108183620047,1.400233473930971
94.0,11.3,3.1,1,-0.9251247900914562,1.422050423513665
92.0,11.8,3.2,0,-0.7819692884429722,1.5190213749476011
93.0,12.5,2.5,0,-0.8448458264790811,1.6945558812666754
94.0,11.5,2.3,0,-0.9777913361901517,1.509291836888303
94.0,10.7,2.1,1,-1.046537482898095,1.3658121792874833
94.0,12.3,1.8,0,-0.9665712576504161,1.6950774348210085
95.0,12.6,1.6,0,-1.0145128106106038,1.7626098777694856
91.0,15.3,1.3,0,-0.6581328356386742,2.317350331334805
89.0,15.6,0.8,0,-0.5773629242279105,2.411691750057875
88.0,15.6,0.3,0,-0.5673311417241885,2.444802898362865
87.0,15.2,0.1,0,-0.5588003936211763,2.3819993948206535
86.0,14.5,-0.2,0,-0.5781039529682215,2.266901946118559
86.0,16.2,-0.4,0,-0.4833809520783137,2.609569379530913
85.0,17.0,-0.7,0,-0.40460302286664823,2.7861601854367217
82.0,18.4,-0.9,0,-0.17613082610258504,3.079167826416993
80.0,17.4,-1.4,0,-0.18036487144270408,2.920712757813214
79.0,17.6,-1.9,0,-0.15725555713115366,2.9927156733992577
79.0,17.7,-2.1,0,-0.16715281070387064,3.024248968563181
77.0,17.6,-2.2,0,-0.07966592395550161,3.0166320296773517
77.0,18.6,-2.5,0,-0.03893229413130726,3.2292219833677143
75.0,19.1,-2.8,0,0.07135116856391525,3.3503677578484425
74.0,19.9,-2.7,0,0.183001136728842,3.50278374070746
74.0,20.2,-2.4,0,0.22727146365553044,3.542990274343946
72.0,20.8,-2.0,0,0.401619760422875,3.6412759921333153
71.0,21.0,-1.7,0,0.49047315264094843,3.664929261625775
70.0,20.7,-1.5,0,0.5384147056011364,3.5973968186772978
74.0,19.3,-1.9,0,0.20951261921188125,3.337758792770715
73.0,19.0,-1.8,0,0.2492361624337535,3.2762700555839346
73.0,19.1,-1.7,0,0.26399293807598323,3.289672233462764
74.0,18.9,-1.7,0,0.19979357507285564,3.247887846685209
74.0,19.1,-1.6,0,0.22108911661899938,3.2807359082045666
74.0,19.1,-1.6,0,0.22108911661899938,3.2807359082045666
74.0,18.5,-1.5,0,0.1900745309338303,3.1580169005997067
73.0,17.6,-1.4,0,0.19056547873221855,2.9798528615697664
74.0,16.7,-1.5,0,0.07237674466337729,2.8079909950702215
74.0,17.0,-1.6,0,0.08377503263680415,2.8723723517535005
75.0,17.4,-1.8,0,0.04237224558053013,2.9593506783425045
75.0,16.6,-2.0,0,-0.026373901127412874,2.815871020741685
77.0,13.9,-1.6,0,-0.27229220397042914,2.260872100407667
78.0,14.1,-1.9,0,-0.33499053257284656,2.315002365477315
77.0,13.5,-2.1,0,-0.33953731627766237,2.2133070946540494
76.0,13.0,-2.3,0,-0.3375453340785643,2.13105770747131
75.0,12.5,-2.6,0,-0.3437713616177817,2.0548520260502685
75.0,13.5,-2.7,0,-0.2866017123169566,2.2553545682172365
76.0,13.2,-2.9,0,-0.37377586070062885,2.206211709322552
76.0,12.8,-2.8,0,-0.3917129145779694,2.1223844689987463
75.0,13.0,-2.5,0,-0.30285952235989605,2.1460377384912053
73.0,13.2,-2.0,0,-0.14644827946989245,2.1604962159567696
71.0,12.0,-1.4,0,-0.07336174949637023,1.8966686166932576
69.0,11.2,-1.0,0,0.009443824616177494,1.7227119635152488
70.0,11.8,-2.4,0,-0.11749754749205317,1.9211065265256833
70.0,9.6,-2.4,0,-0.2613503973781625,1.4932970864340904
71.0,9.0,-2.6,0,-0.3681408434735768,1.3858165766178256
73.0,8.4,-2.9,1,-0.5342711305026058,1.2814871530667584
74.0,7.6,-3.2,1,-0.6623571181441638,1.1411585817311376
76.0,6.0,-3.3,1,-0.877439044735702,0.8302829102514051
77.0,5.5,-3.2,1,-0.9530366957122566,0.7241171667905728
79.0,4.9,-3.2,1,-1.0945129535263391,0.601656625954412
81.0,4.9,-3.3,1,-1.204974625655253,0.6019150927231105
82.0,5.4,-3.2,1,-1.2151846175926666,0.6902081856675474
83.0,5.0,-3.1,1,-1.2842435026653065,0.603488325847242
86.0,4.8,-3.2,1,-1.4589045377973473,0.561962405838387
82.0,3.6,-3.0,1,-1.3164463843864884,0.32809486861466663
84.0,4.7,-3.0,1,-1.3467636218340324,0.5362143496674634
85.0,4.7,-3.2,1,-1.4143214725059623,0.5454091416943598
88.0,4.5,-3.5,1,-1.6054185271146344,0.5159706332089008
93.0,2.5,-3.9,1,-2.0246750401226725,0.13676468596265573
95.0,2.5,-4.1,1,-2.1433547219899025,0.14306685849305234
97.0,2.5,-4.4,1,-2.270252413595447,0.155412736785147
97.0,4.7,-3.7,1,-2.06887349554113,0.5409162365448534
81.0,4.1,-2.0,1,-1.150450626288465,0.3677798486968207
74.0,4.4,-0.7,1,-0.6661473836115278,0.3677976611918253
69.0,4.7,0.6,1,-0.2840878033251894,0.3620302346938305
65.0,5.3,1.8,1,0.05824823373927665,0.41775154538261455
75.0,6.1,0.2,1,-0.5321481067954497,0.6410917117290013
76.0,5.9,0.5,1,-0.5716934405836305,0.5811762076663538
81.0,5.8,0.1,1,-0.8667134014173022,0.5714420495901203
90.0,4.6,-2.1,1,-1.5860712872649025,0.4450193971926561
93.0,4.7,-2.1,1,-1.7328980149468864,0.455787422343684
95.0,4.3,-2.3,1,-1.8777327604297718,0.3843060603119728
96.0,3.6,-2.8,1,-2.015716001644046,0.2755107841402746
97.0,3.8,-3.1,1,-2.0784143302464644,0.3296410492099228
98.0,4.8,-3.2,1,-2.0723665121409383,0.5272509718803905
96.0,4.9,-3.0,1,-1.9471480643697945,0.5403946829905208
96.0,5.2,-2.7,1,-1.9028777374431063,0.5806012166270076
96.0,5.0,-2.4,1,-1.891301240035988,0.5235783320608597
95.0,4.0,-2.7,1,-1.930221097094776,0.3501432324371841
96.0,3.8,-2.6,1,-1.9862024503595874,0.30231513989793246
96.0,2.8,-2.3,1,-2.0269360801837824,0.08972518620756914
95.0,2.5,-2.2,1,-1.9872125369619096,0.028236449020790047
94.0,3.5,-2.1,1,-1.8624850369891548,0.21954419916086107
93.0,5.7,-2.1,1,-1.6675103559077458,0.6502462587489533
94.0,7.7,-2.3,1,-1.6042928885013945,1.0483587235863883
93.0,7.8,-2.3,1,-1.5466322914021815,1.0706972267234147
89.0,7.5,-2.0,1,-1.3371072351177806,1.0057989365027389
84.0,8.0,-1.5,1,-1.0077142009301372,1.0872729233793819
78.0,9.7,-0.7,0,-0.5240801154852799,1.3868590161537533
71.0,9.7,0.2,0,-0.09226520947334696,1.3527140007739693
78.0,7.6,-0.9,1,-0.6778302189441059,0.9905828712260841
76.0,9.4,-0.5,0,-0.42501673132979284,1.3222191927017763
76.0,4.8,-0.5,1,-0.7257999629098393,0.42770854523753765
85.0,4.0,-2.1,1,-1.369694726711891,0.342807192831993
92.0,4.6,-2.6,1,-1.7294049983470783,0.4694526870081467
91.0,4.2,-3.4,1,-1.7701823086739588,0.44291141803612305
92.0,3.8,-3.8,1,-1.880331242438175,0.38641008702430735
93.0,3.8,-3.7,1,-1.9232350638951594,0.3774737617661097
94.0,4.1,-3.9,1,-1.971176616855347,0.44500620471458685
94.0,3.1,-4.2,1,-2.0612183051094344,0.2686784855944118
95.0,2.9,-4.1,1,-2.1171996583742456,0.22085039305516005
95.0,3.4,-4.0,1,-2.0762878191163603,0.3120361054960966
95.0,4.7,-3.6,1,-1.958411823412216,0.5406577697761549
95.0,5.2,-3.5,1,-1.9174999841543305,0.6318434822170915
94.0,4.6,-3.3,1,-1.8891747289058844,0.5059733883470333
95.0,3.1,-3.3,1,-2.0383780486598946,0.21139251424262973
95.0,3.1,-3.2,1,-2.0301600389215793,0.20534880848093187
95.0,3.6,-3.1,1,-1.9892481996636937,0.2965345209218685
96.0,4.4,-3.2,1,-1.9962779133659962,0.4552526763112823
94.0,4.1,-3.0,1,-1.8972145292105085,0.39061285285930464
90.0,4.1,-2.3,1,-1.6352011362611036,0.3598773905134175
82.0,5.4,-1.1,1,-1.042606413088043,0.5632903646718891
73.0,5.9,0.3,1,-0.4347639664743636,0.601941477679249
72.0,6.8,1.4,1,-0.23439513502236847,0.7133662865618127
72.0,3.9,0.3,1,-0.5144174533573456,0.21591642436520983
70.0,3.2,0.6,1,-0.4332911230791994,0.06744936058942679
76.0,3.1,-0.4,1,-0.8287409735380629,0.0910848175868818
76.0,4.2,-0.1,1,-0.732160519380062,0.286858420347584
82.0,4.6,-0.9,1,-1.0784805208427242,0.3956358840242776
88.0,3.1,-1.6,1,-1.5408190647414381,0.12889785276926158
98.0,5.1,-4.7,1,-2.1760203605039266,0.6762442092274416
97.0,5.2,-5.1,1,-2.1512318023579757,0.7227575354112604
100.0,2.1,-3.4,1,-2.3675928734138467,0.00851428611655996
98.0,2.9,-4.9,1,-2.336309229866667,0.2605221806592452
98.0,3.3,-4.9,1,-2.310154166251011,0.33830571522135283
97.0,3.4,-5.8,1,-2.3264556567966364,0.4150375702136615
98.0,4.0,-3.3,1,-2.132894649110566,0.37772760851787296
97.0,3.4,-3.0,1,-2.0963513841238046,0.24581380888611706
97.0,2.5,-2.9,1,-2.1469822675207157,0.06475715035967676
98.0,2.5,-3.0,1,-2.2063221084543305,0.06790823662487501
98.0,3.7,-3.1,1,-2.136074927345677,0.30730254607289625
98.0,4.7,-3.3,1,-2.0871232877831667,0.5138487940015615
98.0,4.7,-3.7,1,-2.1199953267364293,0.5380236170483538
96.0,1.8,-3.6,1,-2.1991578658210225,-0.026165475295625934
97.0,2.6,-2.9,1,-2.1404435016168013,0.08420303400020374
94.0,3.2,-1.6,1,-1.8410112860093193,0.13098801943079014
86.0,3.9,-0.2,1,-1.2712131387831116,0.20563828022270406
78.0,2.0,1.1,1,-0.8796409147969846,-0.21926072787738413
69.0,2.6,0.5,1,-0.4296198970457,-0.04028961599553701
66.0,3.6,0.9,1,-0.1779947054674,0.13867225585243925
71.0,3.1,0.2,1,-0.5238237591316743,0.0692856804991923
83.0,8.0,-3.3,1,-1.1045165450245154,1.1989522465864457
87.0,6.3,-2.6,1,-1.3626368220040435,0.8144958063796028
93.0,3.3,-0.8,1,-1.7176066110035828,0.10497687647423269
100.0,3.4,-1.6,1,-2.1346647413732867,0.1525240697328458
100.0,6.0,-5.0,1,-2.244069158974246,0.8636030402842788
100.0,5.5,-4.8,1,-2.260326969017184,0.754286210558248
99.0,6.0,-5.2,1,-2.2093833472555766,0.8785830713041743
100.0,3.9,-3.7,1,-2.27454911635834,0.37667130893113887
100.0,1.9,-2.8,1,-2.3313623467917823,-0.06663971573468204
99.0,3.0,-3.8,1,-2.290494188036582,0.21059468142459403
99.0,2.8,-3.0,1,-2.237827641937887,0.12335326804995614
99.0,2.8,-3.1,1,-2.246045651676203,0.12939697381165416
98.0,3.3,-3.6,1,-2.2033200396529105,0.25973754031927854
96.0,2.9,-3.3,1,-2.102577411663022,0.16960812746507606
99.0,3.6,-3.5,1,-2.226607563398152,0.30913886598266166
100.0,1.5,-2.1,1,-2.29999134223923,-0.18672919062867563
100.0,0.7,-2.3,1,-2.3687374889471737,-0.3302088482294949
95.0,2.9,-0.4,1,-1.8131332980565757,-0.0027667201276665144
78.0,3.2,2.0,1,-0.7272136363051771,-0.04030347604634308
69.0,3.1,3.7,1,-0.13394975590003635,-0.13645878216723878
59.0,3.5,4.8,2,0.49382172679008146,-0.09622981601881223
55.0,3.1,3.5,2,0.5653198613575217,-0.08387469769284699
52.0,4.4,4.0,2,0.844779360385879,0.14738111931501224
63.0,5.4,1.9,1,0.17524867177210474,0.436938962254443
79.0,7.7,-0.9,1,-0.722413284235491,1.0071361353701116
79.0,5.6,0.5,1,-0.7446752318812704,0.5141606982552737
79.0,6.4,0.4,1,-0.7005831143882733,0.6757714731411872
68.0,6.6,1.4,1,-0.04298534204899983,0.6860449972667576
53.0,11.3,2.8,0,1.1462162597008643,1.558778940155247
63.0,11.9,2.2,0,0.6249224847414646,1.6827902816035993
77.0,8.1,1.0,1,-0.4378723732012435,0.9758744994529563
86.0,6.4,-0.0,1,-1.0913079717086294,0.6796979597124815
94.0,4.5,-0.7,1,-1.6820452416135978,0.32939115490235815
88.0,6.8,1.3,1,-1.060562443885471,0.6731280803795155
89.0,10.1,0.8,1,-0.9369950489431834,1.3421681498288942
93.0,8.7,-0.6,1,-1.3480772327155932,1.1429671815392906
91.0,8.7,-0.6,1,-1.2458335703249948,1.1487524205322899
85.0,8.4,-0.4,1,-0.9422828613883109,1.095683075066312
82.0,9.0,-0.5,1,-0.7579027821172442,1.2270799411606705
80.0,8.4,-0.6,1,-0.7031097248884454,1.1222335840722062
78.0,7.2,-0.5,1,-0.6711132436065004,0.8886245136171845
74.0,6.5,0.2,1,-0.45487121198449415,0.7217678657876089
71.0,12.6,0.9,0,0.15488506990836878,1.8743386860173643
66.0,16.2,2.1,0,0.7445059152855559,2.5163291254184563
55.0,18.4,3.2,0,1.5410970154414254,2.909476616592867
53.0,13.5,3.4,0,1.3393771680168665,1.950326145676651
50.0,14.0,3.6,0,1.541872510598965,2.044146010845389
54.0,13.2,2.6,0,1.2028949612033013,1.9374455213521546
74.0,7.7,-0.1,1,-0.40106005035247155,0.973249586759026
84.0,7.2,-1.0,1,-1.0189342794698726,0.9014873254466764
87.0,8.7,-0.9,1,-1.0660002747587438,1.178454015803383
89.0,9.2,-1.1,1,-1.1519861271064034,1.2819856065364144
90.0,8.0,-1.8,1,-1.3390992173168788,1.0880483236854777
92.0,8.0,-2.4,1,-1.4906509381373698,1.1185253192626665
93.0,5.9,-3.6,1,-1.777702970174649,0.7797936124554773
89.0,5.6,-4.2,1,-1.6421400015350873,0.7692886740900834
86.0,5.0,-4.0,1,-1.5115710838960423,0.649203819213025
91.0,3.7,-2.7,1,-1.7453500700253213,0.3033760595016021
90.0,2.9,-2.3,1,-1.7136663271080723,0.12652678682709428
95.0,2.5,-2.0,1,-1.970776517485279,0.01614903749739393
100.0,0.5,-1.9,1,-2.3489429818017395,-0.393275438557341
100.0,3.7,-2.2,1,-2.1643565020914366,0.24712395522461475
100.0,5.5,-4.2,1,-2.211018910587292,0.71802397598806
